"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Biblioteca Maria Beatriz Nascimento (catálogo da Biblioteca física)";"Base de dados com o catálogo da Biblioteca física. Informações a serem disponibilizadas: Tipo de documento; Título; Autor; Idioma; Dados da publicação; Edição; Descrição; Número de chamada; Assunto.";"Arquivo Nacional";"4";"0";"10"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Brasil Mapeado";"O Brasil Mapeado é um aplicativo que permite a visualização em uma dimensão espacial de vários tipos de instalações e os espaços físicos, públicos ou privados, onde é prestado de forma presencial algum tipo de serviço do poder público à pessoa física ou jurídica.

![exemplo de tela do mapa](/wp/wp-content/uploads/2017/10/brasil-mapeado-546px.gif)

O aplicativo foi construido para o o [Concurso de Aplicativos para Dados Abertos](/concurso/concurso-nacional-de-dados-abertos) realizado pelo Ministério do Planejamento, Orçamento e Gestão; e pelo Comitê Gestor da Internet no Brasil (CGI.Br), representado pelo Núcleo de Informação e Coordenação do Ponto BR (NIC.Br), por meio do Escritório Brasileiro do W3C Brasil

A partir da localização fornecida (primeiramente tenta-se obter a localização através de um [serviço de geolocalização disponível na internet](http://www.w3schools.com/html/html5_geolocation.asp) - verificar se o browser tem permissão de geolocalização - e no caso de insucesso, o usuário poderá digitar sua cidade ou endereço atual), a aplicação será iniciada com o mapa tendo como ponto central sua localização. Atentamos que o serviço de localização não é muito preciso, porém ao ser acessado por dispositivos móveis que disponha da ferramente de GPS e está esteja ativada, a geocodificação é mais precisa.

No lado direita da aplicação, tem-se o gerenciador de camadas, no qual são exibidas todas as camadas de equipamentos públicos disponíveis. Ao selecionar qualquer uma das camadas, será exibido no mapa, caso existam, os equipamentos mais próximos de sua localização. Clicando sobre qualquer um dos ícone, um Info-Window (janela de informação) com os detalhes dos equipamentos será exibida, tendo a possibilidade de compartilhamento com Facebook ou Twitter.";"Cartografia,Mapas Interativos,atendimento ao cidadão,equipamentos públicos";"1";"0";"0"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Cadastro Ambiental Rural - CAR";"Criado pela Lei nº 12.651/2012, no âmbito do Sistema Nacional de Informação sobre Meio Ambiente - SINIMA, e regulamentado pela Instrução Normativa MMA nº 2, de 5 de maio de 2014, o Cadastro Ambiental Rural – CAR é um registro público eletrônico de âmbito nacional, obrigatório para todos os imóveis rurais, com a finalidade de integrar as informações ambientais das propriedades e posses rurais referentes às Áreas de Preservação Permanente - APP, de uso restrito, de Reserva Legal, de remanescentes de florestas e demais formas de vegetação nativa, e das áreas consolidadas, compondo base de dados para controle, monitoramento, planejamento ambiental e econômico e combate ao desmatamento.

A inscrição no CAR é o primeiro passo para obtenção da regularidade ambiental do imóvel, e contempla: dados do proprietário ou possuidor rural; dados sobre os documentos de comprovação de propriedade e ou posse; e informações georreferenciadas do perímetro do imóvel, das áreas de interesse social e das áreas de utilidade pública, com a informação da localização dos remanescentes de vegetação nativa, das Áreas de Preservação Permanente, das áreas de Uso Restrito, das áreas consolidadas e das Reservas Legais.

Para um melhor desempenho e visualização dos metadados, é recomendado que o arquivo seja aberto no Excel, e não diretamente como CSV. Além disso, informações e dados do CAR também podem ser acessados e baixados no portal de consulta pública do CAR, disponível em: https://consultapublica.car.gov.br/.";"Cadastro,Código Florestal,Meio Ambiente";"10";"1";"3225"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Cadastro Nacional de Entidades Custodiadoras de Acervos Arquivísticos CODEARQ";"Base de dados contendo o código previsto na NOBRADE, denominado Código de Entidade Custodiadora de Acervos Arquivísticos (CODEARQ), tornando possível a identificação de cada entidade custodiadora de acervos arquivísticos no Brasil.";"CODEARQ,Dados Estratégicos,Entidades Custodiadoras de Acervo Arquivísticos,NOBRADE";"9";"0";"117"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Canais de Atendimento do ColaboraGov - CompartilhaGestão";"O CompartilhaGestão é um sistema de gestão de demandas que permite aos colaboradores solicitar a prestação de serviços de forma prática e organizada, trazendo mais transparência no acompanhamento do serviço.";"conjunto de dados";"1";"0";"7"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Canais de Atendimento do ColaboraGov - CompartilhaServiços";"O Compartilha Serviços é uma plataforma criada para melhorar a organização dos serviços de TI, tornando tudo mais rápido e eficiente. Ela ajuda em várias áreas, como registro de problemas, pedidos de serviços, catálogo de serviços, base de conhecimento e controle de mudanças. A plataforma automatiza tarefas repetitivas e processos manuais, permitindo que a equipe de TI se dedique a atividades mais importantes. Também facilita a criação e a gestão de um catálogo com os serviços disponíveis, tornando mais fácil para os usuários encontrarem e solicitarem o que precisam.";"Tecnologia";"1";"0";"6"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Catálogo de Bases de Dados";"O Catálogo de Base de Dados (CBD) consiste em uma base centralizada de informações a respeito de bases de dados custodiadas pela administração pública federal. O CBD permitirá que o governo identifique as bases de dados governamentais, suas características, onde estão e quem são seus curadores.
O CBD é uma iniciativa criada e mantida pela Secretaria de Governo Digital (SGD), da Secretaria Especial de Desburocratização, Gestão e Governo Digital (SEDGG), do Ministério da Economia (ME).
O levantamento das bases de dados foi realizado no período de 2021 e 2022, tendo um grande projeto de ampliação e evolução da catalogação para os próximos anos.";"Dados,Dados Estratégicos,bases,bases de dados,catalogo";"3";"0";"5451"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Catálogo de Serviços Compartilhados do ColaboraGov";"O Catalogo de Serviços é uma lista organizada de todos os serviços que o MGI oferece aos órgãos do ColaboraGov. Ele funciona como uma vitrine, onde os colaboradores podem encontrar informações sobre os serviços disponíveis, como descrições, prazos de entrega, custos e como solicitá-los. É possível acessa-lo através do seguinte portal https://www.gov.br/servicoscompartilhados/pt-br/servicos/catalogo-de-servicos";"catalogo";"1";"0";"18"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Catálogo de Software do SISP – 2016";"O Catálogo de Software do SISP teve como objetivo centralizar as informações dos sistemas de informação utilizados pelos órgãos e entidades do governo federal, além das maiores necessidades de sistemas dessas instituições.

Contudo, desde abril de 2019, o Catálogo de Software do SISP foi descontinuado, com a publicação da Portaria SGD/ME nº 1, de 4 de abril de 2019, que revogou a Portaria SLTI/MP nº 7, de 8 de abril de 2013.

A última consolidação do Catálogo de Software do SISP foi realizada no ano de 2016 e essa versão é disponibilizada no Portal Dados Abertos para fins históricos.

";"Catálogo,Sistemas,Sotware";"1";"0";"18"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Catálogos de Soluções de TIC com Condições Padronizadas e Acordos com Fabricantes de Software";"Acordos com Fabricantes de software para definição de preço máximo de referência, incluindo catálogos com as descrições padronizadas dos produtos e respectivo preço máximo de referência a serem utilizados pelos órgãos.";"Acordos com Fabricantes de Software,Catálogos de Soluções de TIC,PMCTIC,Preços Máximos de TIC";"1";"0";"54"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Centro de Referência de Acervos Presidenciais";"O Centro de Referência de Acervos dos Presidentes fornece informações sobre os acervos documentais privados dos presidentes da República, produzidos e acumulados antes, durante e depois do mandato presidencial, guardados em instituições públicas, entidades privadas ou pelo próprio titular. Informações a serem disponibilizadas: Entidade custodiadora/instituições; Local; Presidente da República; Data inicial; Data final.";"Arquivo Nacional,Presidência da República";"4";"0";"5"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Compras Públicas do Governo Federal";"Dados Abertos do Sistema Integrado de Administração e Serviços Gerais - SIASG e [Compras.gov.br](https://compras.dados.gov.br/docs/home.html e https://dadosabertos.compras.gov.br/swagger-ui/index.html#) contém informações das compras públicas realizadas no sistema SIASG/Compras.gov.br.

__Conceito__

O SIASG é o sistema onde se operacionaliza as compras do Governo Federal. Essa operacionalização se dá em diversos módulos, como o catálogo de materiais e serviços ([CATMAT](http://comprasnet.gov.br/acesso.asp?url=/Livre/Catmat/Conitemmat1.asp) / CATSER), o cadastramento e divulgação da licitação (SIDEC, Divulgação), as intençoes de registros de preços (IRP), o cadastramento dos fornecedores ([SICAF](https://www.gov.br/compras/pt-br/sistemas/conheca-o-compras/sicaf-digital), a realização das licitações ([Compras governamentais](http://gov.br/compras), Sessão Pública, RDC), o resultado das licitações (SISPP, SISRP), os empenhos de pagamentos (SISME) e o registro e [gestão dos contratos](https://www.gov.br/compras/pt-br/sistemas/conheca-o-compras/comprasnet-contratos).

__Por que Dados Abertos de Compras Governamentais?__

A prestação de dados como um serviço governamental traz vantagens para toda a sociedade, incluindo o próprio governo. O Ministério Economia está racionando recursos através da publicação dessas informações na Internet.

A disponibilização dos dados das Compras Governamentais é um compromisso firmado pelo governo brasileiro na Parceria para Governo Aberto (Open Government Partnership - OGP do inglês). O governo está comprometido em promover a transparência dos gastos públicos, fornecer informações de valor agregado à sociedade e promover a pesquisa e inovação tecnológica através da implementação da política brasileira de dados abertos.

Os dados estão disponíveis através de uma [API](http://kit.dados.gov.br/Gloss%C3%A1rio/#api) de Dados Abertos que contempla os princípios [REST](http://pt.wikipedia.org/wiki/REST). Abaixo uma lista dos dados disponíveis por essa API:

•	[Dados dos fornecedores](http://compras.dados.gov.br/docs/lista-metodos-fornecedores.html)

•	[Dados do catálogo de materiais](https://dadosabertos.compras.gov.br/swagger-ui/index.html#)

•	[Dados do catálogo de serviços](https://dadosabertos.compras.gov.br/swagger-ui/index.html#)

•	[Dados de licitações](http://compras.dados.gov.br/docs/lista-metodos-licitacoes.html)

•       [Dados de Pregões](http://compras.dados.gov.br/docs/lista-metodos-pregoes.html)

•	[Dados dos contratos](http://compras.dados.gov.br/docs/lista-metodos-comprasContratos.html)

•	[Dados de compras sem Licitação](http://compras.dados.gov.br/docs/lista-metodos-compraSemLicitacao.html)

•	Dados do Regime Diferenciado de Contratações - RDC

__Políticas Públicas__

Publicação dos dados das compras públicas realizadas no sistema SIASG/Comprasnet.

__Legislação__

Constituição Federal; [Lei nº 14.133/2021](https://www.gov.br/compras/pt-br/nllc); [Lei nº 8.666/1993](https://www.gov.br/compras/pt-br/acesso-a-informacao/legislacao); Lei Complementar nº 123/2006; Lei nº 12.232/201; Lei nº 12.349/2010; Decreto nº 1.094/1994; Lei nº 12.462/2011; Lei nº 10.520/2002; Decreto nº 9.507/2018; Decreto nº 9.488/2018; Decreto nº 7.581/2011; Decreto nº 8.250/2014; Decreto nº 7.892/2013.

__Veja também__

- Adaptação do Painel de Compras e da API de Dados Abertos 
https://www.gov.br/compras/pt-br/acesso-a-informacao/comunicados/no-07-2023-adaptacao_painel_de_compras_api_dados_abertos

- Painel de Preços – ferramenta para pesquisa de preços das compras realizadas no sistema SIASG/Comprasnet - http://paineldeprecos.planejamento.gov.br/

- Painel de Compras – ferramenta que apresenta em um só local os principais números das contratações públicas e tem por finalidade oferecer um panorama dos gastos públicos e do comportamento licitatório no âmbito da Administração Pública Federal- http://paineldecompras.economia.gov.br";"14133,API,Dados Estratégicos,MP,RDC,SIASG,SICAF,ata,aviso,compras,comprasnet,concorrência,contratos,convite,fornecedores,leilão,licitação,materiais,modalidades,ocorrências,pregão,preços praticados,regime diferenciado de contratações,registro de preços,serviços,sustentável,tomada de preços";"42";"2";"36434"
